char_id,name,normalized_name,gender,Simpson_fam
1,Marge Simpson,marge simpson,f,True
2,Homer Simpson,homer simpson,m,True
3,Seymour Skinner,seymour skinner,m,False
4,JANEY,janey,f,False
5,Todd Flanders,todd flanders,m,False
6,Dewey Largo,dewey largo,m,False
7,Children,children,u,False
8,Bart Simpson,bart simpson,m,True
9,Lisa Simpson,lisa simpson,f,True
10,Patty Bouvier,patty bouvier,f,False
11,Ned Flanders,ned flanders,m,False
12,Mechanical Santa,mechanical santa,m,False
13,Tattoo Man,tattoo man,m,False
14,Waylon Smithers,waylon smithers,m,False
15,C. Montgomery Burns,c montgomery burns,m,False
16,DOCTOR ZITSOFSKY,doctor zitsofsky,u,False
17,Moe Szyslak,moe szyslak,m,False
18,Barney Gumble,barney gumble,m,False
19,Interviewer,interviewer,m,False
20,Students,students,u,False
21,Teacher,teacher,m,False
22,Selma Bouvier,selma bouvier,f,False
23,Voice,voice,m,False
24,Little Boy,little boy,m,False
25,Milhouse Van Houten,milhouse van houten,m,False
26,Lewis Clark,lewis clark,m,False
27,Little Girl,little girl,f,False
28,Clerk,clerk,m,False
29,Bubbles,bubbles,u,False
30,Moldy,moldy,u,False
31,Grampa Simpson,grampa simpson,m,False
32,Father,father,m,False
33,Announcer,announcer,m,False
34,Ticket Seller,ticket seller,u,False
35,Elf #1,elf 1,u,False
36,Elves,elves,u,False
37,Dog's Owner,dogs owner,u,False
38,Martin Prince,martin prince,m,False
39,Kids,kids,u,False
40,Edna Krabappel-Flanders,edna krabappel-flanders,f,False
41,Conductor,conductor,u,False
42,Secretary,secretary,u,False
43,Dr. J. Loren Pyror,dr j loren pyror,m,False
44,Ms. Melon,ms melon,f,False
45,Ethan Foley,ethan foley,m,False
46,Sydney,sydney,u,False
47,Cecile Shapiro,cecile shapiro,u,False
48,Ian,ian,m,False
49,Calvin,calvin,m,False
50,"Martin Prince, Sr.",martin prince sr,m,False
51,Richard,richard,m,False
52,Otto Mann,otto mann,m,False
53,Wendell Borton,wendell borton,m,False
54,Sherri Mackleberry,sherri mackleberry,f,False
55,Terri Mackleberry,terri mackleberry,f,False
56,Narrator,narrator,m,False
57,Smilin' Joe Fission,smilin joe fission,m,False
58,Rod #1,rod 1,u,False
59,Rod #2,rod 2,u,False
60,RODS,rods,u,False
61,Workman #1,workman 1,u,False
62,Foreman,foreman,u,False
63,TERRI & SHERRI,terri sherri,f,False
64,PUNK TEENAGER,punk teenager,u,False
65,Tv Announcer #1,tv announcer 1,u,False
66,Tv Announcer #2,tv announcer 2,u,False
67,Jingle Chorus,jingle chorus,u,False
68,Sylvia Winfield,sylvia winfield,f,False
69,Old Man Winfield,old man winfield,m,False
70,Councilman #1,councilman 1,u,False
71,Chief Wiggum,chief wiggum,m,False
72,Councilman #2,councilman 2,u,False
73,COUNCILMEN #1/#2,councilmen 12,u,False
74,Demonstrator #1,demonstrator 1,u,False
75,Crowd,crowd,u,False
76,MR. GAMMILL,mr gammill,m,False
77,TOM,tom,m,False
78,Mrs. Long,mrs long,f,False
79,Wife #1,wife 1,f,False
80,Wife #2,wife 2,f,False
81,Other Women,other women,f,False
82,Nice Father,nice father,m,False
83,Nice Boy,nice boy,m,False
84,NICE GIRL,nice girl,f,False
85,Nice Mother,nice mother,f,False
86,NICE FAMILY,nice family,u,False
87,Williams Boy,williams boy,m,False
88,Mr. Williams,mr williams,m,False
89,BOXING ANNOUNCER,boxing announcer,u,False
90,Eddie,eddie,m,False
91,Lou,lou,m,False
92,TV-STATION ANNOUNCER,tv-station announcer,u,False
93,Tv Wife,tv wife,f,False
94,Tv Husband,tv husband,m,False
95,Small Boy,small boy,m,False
96,Dr. Marvin Monroe,dr marvin monroe,m,False
97,Pawn Broker,pawn broker,u,False
98,Receptionist,receptionist,f,False
99,Homer-ish Husband,homer-ish husband,m,False
100,Weasel #1,weasel 1,u,False
101,Nelson Muntz,nelson muntz,m,False
102,ALL AT THE TABLE,all at the table,u,False
103,Kid,kid,u,False
104,Weasel #2,weasel 2,u,False
105,Maggie Simpson,maggie simpson,f,True
106,Homer's Image,homers image,m,True
107,Elderly Gentleman,elderly gentleman,m,False
108,Herman Hermann,herman hermann,m,False
109,All,all,u,False
110,Ms. Barr,ms barr,f,False
111,Bleeding Gums Murphy,bleeding gums murphy,m,False
112,Jacqueline Bouvier,jacqueline bouvier,f,False
113,Newsman,newsman,m,False
114,Barflies,barflies,u,False
115,Cashier,cashier,m,False
116,Boy Onlooker,boy onlooker,m,False
117,Champ,champ,u,False
118,Woman,woman,f,False
119,Ralph Wiggum,ralph wiggum,m,False
120,Stan,stan,m,False
121,Rod Flanders,rod flanders,m,False
122,NED,ned,m,False
123,Cowboy Bob,cowboy bob,m,False
124,Salesman,salesman,m,False
125,Homer's Canyon Echo,homers canyon echo,m,True
126,Camper Father,camper father,m,False
127,Camper Mother,camper mother,f,False
128,Photographer,photographer,u,False
129,Game Warden,game warden,u,False
130,Reporter #1,reporter 1,u,False
131,Reporter #2,reporter 2,u,False
132,Flunky,flunky,u,False
133,Map Boy,map boy,m,False
134,Man #1,man 1,m,False
135,Man #2,man 2,m,False
136,German Scientist,german scientist,m,False
137,Beautiful French Scientist,beautiful french scientist,f,False
138,English Scientist,english scientist,u,False
139,Krusty the Clown,krusty the clown,m,False
140,Rev. Timothy Lovejoy,rev timothy lovejoy,m,False
141,Announcer #1,announcer 1,u,False
142,Radio Announcer #1,radio announcer 1,u,False
143,Churchgoing Woman,churchgoing woman,f,False
144,Jimbo Jones,jimbo jones,m,False
145,Kearney Zzyzwicz,kearney zzyzwicz,m,False
146,DOLPH,dolph,m,False
147,Girl On Screen,girl on screen,f,False
148,Boy On Screen,boy on screen,m,False
149,Usher,usher,u,False
150,Mr. Dandy,mr dandy,m,False
151,Radio Announcer #3,radio announcer 3,u,False
152,Jebediah Springfield,jebediah springfield,m,False
153,Sideshow Bob,sideshow bob,m,False
154,TV ANNOUNCER #3 CONT'D,tv announcer 3 contd,u,False
155,Mob,mob,u,False
156,Security Guard,security guard,m,False
157,Waiters,waiters,u,False
158,1st Waiter Quartet,1st waiter quartet,u,False
159,2nd Waiter Quartet,2nd waiter quartet,u,False
160,3rd Waiter Quartet,3rd waiter quartet,u,False
161,4TH QUARTET OF WAITERS,4th quartet of waiters,u,False
162,Counter Guy,counter guy,m,False
163,Jacques,jacques,m,False
164,HELEN,helen,f,False
165,Lenny Leonard,lenny leonard,m,False
166,Another Worker,another worker,u,False
167,Female Mail Carrier,female mail carrier,f,False
168,Mr. Fisk,mr fisk,m,False
169,Eugene Fisk,eugene fisk,m,False
170,Carl Carlson,carl carlson,m,False
171,Waiter,waiter,m,False
172,Workers,workers,u,False
173,Princess Kashmir,princess kashmir,f,False
174,Hoyt,hoyt,m,False
175,Girl #1,girl 1,f,False
176,Boy #1,boy 1,m,False
177,All Kids,all kids,u,False
178,Freddie,freddie,m,False
179,Lewis's Dad,lewiss dad,m,False
180,Al,al,m,False
181,Happy Man,happy man,m,False
182,Funky Guy,funky guy,m,False
183,Manager,manager,m,False
184,Man At Door,man at door,m,False
185,Ticket-seller,ticket-seller,u,False
186,Stage Manager,stage manager,u,False
187,Gulliver Dark,gulliver dark,m,False
188,Theatre-goer #1,theatre-goer 1,u,False
189,Theatre-goer #2,theatre-goer 2,u,False
190,Theatre-goer #3,theatre-goer 3,u,False
191,Krusty Doll,krusty doll,m,False
192,Agnes Skinner,agnes skinner,f,False
193,Steward,steward,m,False
194,Mother,mother,f,False
195,Adil Hoxha,adil hoxha,u,False
196,UGOLIN,ugolin,u,False
197,Cesar,cesar,m,False
198,Male Announcer,male announcer,m,False
199,Military Man,military man,m,False
200,MARGE & BART,marge bart,u,True
201,Gendarme,gendarme,u,False
202,Cia Agent #1,cia agent 1,u,False
203,Cia Agent #2,cia agent 2,u,False
204,Brad,brad,m,False
205,Female Announcer,female announcer,f,False
206,Brittany,brittany,f,False
207,ITCHY & SCRATCHY CHORUS,itchy scratchy chorus,u,False
208,Apu Nahasapeemapetilon,apu nahasapeemapetilon,m,False
209,Police Artist,police artist,u,False
210,Scott Christian,scott christian,m,False
211,Kent Brockman,kent brockman,m,False
212,Reporter #3,reporter 3,u,False
213,Lawyer,lawyer,m,False
214,Judge Snyder,judge snyder,m,False
215,District Attorney,district attorney,u,False
216,Merchant,merchant,u,False
217,Foreperson,foreperson,u,False
218,Director,director,m,False
219,Merchandiser #1,merchandiser 1,u,False
220,Merchandiser #3,merchandiser 3,u,False
221,Kbbl Weatherman,kbbl weatherman,u,False
222,Arnie Pye,arnie pye,m,False
223,Radio Announcer,radio announcer,m,False
224,Screener,screener,u,False
225,Worker One,worker one,u,False
226,Florist,florist,u,False
227,Lucille Botzcowski,lucille botzcowski,f,False
228,Maitre D',maitre d,u,False
229,Doofy,doofy,u,False
230,U-Squeal Operator,u-squeal operator,u,False
231,Tv Reporter,tv reporter,u,False
233,Bart's Voice,barts voice,m,True
234,Krabappel's Mouth,krabappels mouth,f,False
235,GRANDMA,grandma,f,False
236,Nurse Farrell,nurse farrell,f,False
237,Nurse,nurse,f,False
238,Marty,marty,m,False
239,Bill,bill,m,False
240,Mayor Joe Quimby,mayor joe quimby,m,False
241,Entire Town,entire town,u,False
242,Thomas Jefferson,thomas jefferson,m,False
243,John Adams,john adams,m,False
244,Samuel Chase,samuel chase,m,False
245,Roger Sherman,roger sherman,m,False
246,Benjamin Franklin,benjamin franklin,m,False
247,Tv Host,tv host,u,False
248,Tv Contestant,tv contestant,u,False
249,Good-looking Man,good-looking man,m,False
250,Dr. H. Boyle,dr h boyle,u,False
251,Mr. Winfield,mr winfield,m,False
252,Mourners,mourners,u,False
253,Other Runner,other runner,u,False
254,Jake,jake,m,False
255,Woman Applicant,woman applicant,f,False
256,Karl,karl,m,False
257,Man In Tuxedo,man in tuxedo,m,False
258,Executive #1,executive 1,u,False
259,Executive #3,executive 3,u,False
260,Moving Man,moving man,m,False
261,House,house,u,False
262,Kang,kang,m,False
263,Serak The Preparer,serak the preparer,m,False
264,Kodos,kodos,m,False
265,V.O.,vo,u,False
266,Raven,raven,u,False
267,Dave Shutton,dave shutton,m,False
268,Chief Inspector,chief inspector,u,False
269,Dean Danielson,dean danielson,m,False
270,DANIELSON,danielson,m,False
271,DANEILSON,daneilson,u,False
272,TV Announcer,tv announcer,m,False
273,Jasper Beardly,jasper beardly,m,False
274,OLD BEARDED GUY,old bearded guy,m,False
275,Charles Darwin,charles darwin,m,False
276,Singers,singers,u,False
277,MARY BAILEY,mary bailey,f,False
278,Investigator #1,investigator 1,u,False
279,Investigator #2,investigator 2,u,False
280,Investigator #3,investigator 3,u,False
281,Make-up Man,make-up man,m,False
282,Gregor,gregor,m,False
283,GAMMILL,gammill,u,False
284,FLASH,flash,u,False
285,Player #1,player 1,u,False
286,P.A. Announcer,pa announcer,u,False
288,Dan Hoard,dan hoard,m,False
289,Vendor,vendor,u,False
290,VENDER,vender,u,False
291,MR. O'HARA,mr ohara,m,False
292,Man On Bus,man on bus,m,False
293,Player #2,player 2,u,False
294,Rasta #1,rasta 1,u,False
295,Rasta #2,rasta 2,u,False
296,Supervisor,supervisor,u,False
297,Tony Bennett,tony bennett,m,False
298,Capital City Goofball,capital city goofball,m,False
299,Dave Glass,dave glass,m,False
300,First Wife #3,first wife 3,f,False
301,First Wife #1,first wife 1,f,False
302,Hot Dog Man,hot dog man,m,False
303,Spectator #1,spectator 1,u,False
304,Spectator #2,spectator 2,u,False
305,Spectator #3,spectator 3,u,False
306,Clubhouse Attendant,clubhouse attendant,u,False
307,Dave Rosenfield,dave rosenfield,m,False
308,Maude Flanders,maude flanders,f,False
309,Helen Lovejoy,helen lovejoy,f,False
310,Librarian,librarian,u,False
311,Man,man,m,False
312,SENIOR CITIZENS,senior citizens,u,False
313,British Commentator,british commentator,m,False
314,Announcer #2,announcer 2,u,False
315,Mrs. Spencer,mrs spencer,f,False
316,Security Guard #1,security guard 1,u,False
317,Casey,casey,u,False
318,Rory,rory,m,False
319,Transient,transient,u,False
320,Uncle Sam,uncle sam,m,False
321,Audience,audience,u,False
322,Tv Voice #1,tv voice 1,u,False
323,Tv Voice #2,tv voice 2,u,False
324,Tv Voice #3,tv voice 3,u,False
325,ALL THREE TV VOICES,all three tv voices,u,False
326,ALL 3 ANNOUNCERS,all 3 announcers,u,False
327,LARGO,largo,m,False
328,SCRAPER,scraper,u,False
329,CLARK,clark,m,False
330,Track Announcer,track announcer,m,False
331,MURDOCK,murdock,m,False
332,Dr. Julius Hibbert,dr julius hibbert,m,False
333,SMYTHE,smythe,m,False
334,Itchy & Scratchy Singers,itchy scratchy singers,u,False
335,"Roger Meyers, Jr.",roger meyers jr,m,False
336,Her Group,her group,u,False
337,Animator,animator,u,False
338,1ST BOARD MEMBER,1st board member,u,False
339,2nd Board Member,2nd board member,u,False
340,Squirrel,squirrel,u,False
342,Scratchy,scratchy,m,False
343,Itchy,itchy,m,False
344,Curator,curator,u,False
345,Reporter,reporter,m,False
346,Devil,devil,m,False
347,Lionel Hutz,lionel hutz,m,False
348,Della,della,f,False
349,Dr. Nick Riviera,dr nick riviera,m,False
350,Bailiff,bailiff,u,False
351,Blue-Haired Lawyer,blue-haired lawyer,m,False
352,BURNS LAWYER,burns lawyer,u,False
353,Larry,larry,m,False
354,Sushi Bar Chefs,sushi bar chefs,u,False
355,Hostess,hostess,f,False
356,Akira,akira,m,False
357,Toshiro,toshiro,m,False
358,Master,master,m,False
359,Richie Sakai,richie sakai,m,False
360,Cellmate,cellmate,u,False
361,Crazy Calls,crazy calls,u,False
362,Smitty,smitty,m,False
363,Larry King,larry king,m,False
364,LARRY KING V.O.,larry king vo,m,False
365,Bald One,bald one,m,False
366,Police Captain,police captain,u,False
368,Fat One,fat one,u,False
369,Kim,kim,f,False
370,Principal Dondelinger,principal dondelinger,m,False
371,Estelle,estelle,f,False
372,MCINTYRE,mcintyre,m,False
373,Artie Ziff,artie ziff,m,False
374,Mrs. Bloominstein,mrs bloominstein,f,False
375,Coach Flanagan,coach flanagan,m,False
376,Mr. Seckofsky,mr seckofsky,m,False
377,Mr. Bouvier,mr bouvier,m,False
378,Chauffeur,chauffeur,u,False
379,PRINCIPAL,principal,u,False
380,Homer The Thief,homer the thief,m,True
381,Hezron,hezron,m,False
382,Zohar,zohar,m,False
383,Moses,moses,m,False
384,Cable Guy,cable guy,m,False
385,Comic,comic,m,False
386,Woman #1,woman 1,f,False
387,Woman #2,woman 2,f,False
388,Mexican Announcer,mexican announcer,u,False
389,Representative,representative,u,False
390,Cockfight Announcer,cockfight announcer,u,False
391,Davey,davey,m,False
392,Goliath,goliath,m,False
394,Panelist #1,panelist 1,u,False
395,Blockbuster Announcer,blockbuster announcer,u,False
396,Top Hat Announcer,top hat announcer,u,False
397,Stock Reporter,stock reporter,u,False
398,Boxing Announcer #1,boxing announcer 1,u,False
399,Boxing Announcer #2,boxing announcer 2,u,False
400,Challenger,challenger,u,False
401,Referee,referee,u,False
402,Kindly Old Gent,kindly old gent,m,False
403,Stanley,stanley,m,False
404,Groundskeeper Willie,groundskeeper willie,m,False
405,Busboy,busboy,m,False
406,Australian Boy,australian boy,m,False
407,Australian Girl,australian girl,f,False
408,Jeweler,jeweler,u,False
409,Senator Mendoza,senator mendoza,m,False
410,Board Member,board member,u,False
411,Female Commando,female commando,f,False
412,Theatre Manager,theatre manager,u,False
413,Floozy,floozy,f,False
