id,name,normalized_name,gender,Simpson_fam
7,Children,children,u,FALSE
12,Mechanical Santa,mechanical santa,m,FALSE
13,Tattoo Man,tattoo man,m,FALSE
16,DOCTOR ZITSOFSKY,doctor zitsofsky,u,FALSE
20,Students,students,u,FALSE
24,Little Boy,little boy,m,FALSE
26,Lewis Clark,lewis clark,m,FALSE
27,Little Girl,little girl,f,FALSE
29,Bubbles,bubbles,u,FALSE
30,Moldy,moldy,u,FALSE
34,Ticket Seller,ticket seller,u,FALSE
35,Elf #1,elf 1,u,FALSE
36,Elves,elves,u,FALSE
37,Dog's Owner,dogs owner,u,FALSE
39,Kids,kids,u,FALSE
41,Conductor,conductor,u,FALSE
42,Secretary,secretary,u,FALSE
46,Sydney,sydney,u,FALSE
47,Cecile Shapiro,cecile shapiro,u,FALSE
48,Ian,ian,m,FALSE
49,Calvin,calvin,m,FALSE
50,"Martin Prince, Sr.",martin prince sr,m,FALSE
51,Richard,richard,m,FALSE
53,Wendell Borton,wendell borton,m,FALSE
57,Smilin' Joe Fission,smilin joe fission,m,FALSE
58,Rod #1,rod 1,u,FALSE
59,Rod #2,rod 2,u,FALSE
60,RODS,rods,u,FALSE
61,Workman #1,workman 1,u,FALSE
62,Foreman,foreman,u,FALSE
63,TERRI & SHERRI,terri sherri,f,FALSE
64,PUNK TEENAGER,punk teenager,u,FALSE
65,Tv Announcer #1,tv announcer 1,u,FALSE
66,Tv Announcer #2,tv announcer 2,u,FALSE
67,Jingle Chorus,jingle chorus,u,FALSE
68,Sylvia Winfield,sylvia winfield,f,FALSE
69,Old Man Winfield,old man winfield,m,FALSE
70,Councilman #1,councilman 1,u,FALSE
72,Councilman #2,councilman 2,u,FALSE
73,COUNCILMEN #1/#2,councilmen 12,u,FALSE
74,Demonstrator #1,demonstrator 1,u,FALSE
75,Crowd,crowd,u,FALSE
76,MR. GAMMILL,mr gammill,m,FALSE
77,TOM,tom,m,FALSE
78,Mrs. Long,mrs long,f,FALSE
79,Wife #1,wife 1,f,FALSE
80,Wife #2,wife 2,f,FALSE
81,Other Women,other women,f,FALSE
82,Nice Father,nice father,m,FALSE
83,Nice Boy,nice boy,m,FALSE
84,NICE GIRL,nice girl,f,FALSE
85,Nice Mother,nice mother,f,FALSE
86,NICE FAMILY,nice family,u,FALSE
87,Williams Boy,williams boy,m,FALSE
88,Mr. Williams,mr williams,m,FALSE
89,BOXING ANNOUNCER,boxing announcer,u,FALSE
92,TV-STATION ANNOUNCER,tv-station announcer,u,FALSE
93,Tv Wife,tv wife,f,FALSE
94,Tv Husband,tv husband,m,FALSE
95,Small Boy,small boy,m,FALSE
97,Pawn Broker,pawn broker,u,FALSE
99,Homer-ish Husband,homer-ish husband,m,FALSE
100,Weasel #1,weasel 1,u,FALSE
102,ALL AT THE TABLE,all at the table,u,FALSE
103,Kid,kid,u,FALSE
104,Weasel #2,weasel 2,u,FALSE
105,Maggie Simpson,maggie simpson,f,TRUE
106,Homer's Image,homers image,m,TRUE
107,Elderly Gentleman,elderly gentleman,m,FALSE
109,All,all,u,FALSE
1,Marge Simpson,marge simpson,f,TRUE
8,Bart Simpson,bart simpson,m,TRUE
9,Lisa Simpson,lisa simpson,f,TRUE
17,Moe Szyslak,moe szyslak,m,FALSE
3,Seymour Skinner,seymour skinner,m,FALSE
11,Ned Flanders,ned flanders,m,FALSE
31,Grampa Simpson,grampa simpson,m,FALSE
71,Chief Wiggum,chief wiggum,m,FALSE
25,Milhouse Van Houten,milhouse van houten,m,FALSE
14,Waylon Smithers,waylon smithers,m,FALSE
101,Nelson Muntz,nelson muntz,m,FALSE
40,Edna Krabappel-Flanders,edna krabappel-flanders,f,FALSE
33,Announcer,announcer,m,FALSE
22,Selma Bouvier,selma bouvier,f,FALSE
18,Barney Gumble,barney gumble,m,FALSE
10,Patty Bouvier,patty bouvier,f,FALSE
38,Martin Prince,martin prince,m,FALSE
52,Otto Mann,otto mann,m,FALSE
91,Lou,lou,m,FALSE
5,Todd Flanders,todd flanders,m,FALSE
96,Dr. Marvin Monroe,dr marvin monroe,m,FALSE
43,Dr. J. Loren Pyror,dr j loren pyror,m,FALSE
6,Dewey Largo,dewey largo,m,FALSE
90,Eddie,eddie,m,FALSE
21,Teacher,teacher,m,FALSE
28,Clerk,clerk,m,FALSE
32,Father,father,m,FALSE
54,Sherri Mackleberry,sherri mackleberry,f,FALSE
4,JANEY,janey,f,FALSE
44,Ms. Melon,ms melon,f,FALSE
19,Interviewer,interviewer,m,FALSE
45,Ethan Foley,ethan foley,m,FALSE
55,Terri Mackleberry,terri mackleberry,f,FALSE
23,Voice,voice,m,FALSE
98,Receptionist,receptionist,f,FALSE
110,Ms. Barr,ms barr,f,FALSE
113,Newsman,newsman,m,FALSE
114,Barflies,barflies,u,FALSE
116,Boy Onlooker,boy onlooker,m,FALSE
117,Champ,champ,u,FALSE
122,NED,ned,m,FALSE
125,Homer's Canyon Echo,homers canyon echo,m,TRUE
126,Camper Father,camper father,m,FALSE
127,Camper Mother,camper mother,f,FALSE
128,Photographer,photographer,u,FALSE
129,Game Warden,game warden,u,FALSE
130,Reporter #1,reporter 1,u,FALSE
131,Reporter #2,reporter 2,u,FALSE
132,Flunky,flunky,u,FALSE
133,Map Boy,map boy,m,FALSE
134,Man #1,man 1,m,FALSE
135,Man #2,man 2,m,FALSE
136,German Scientist,german scientist,m,FALSE
137,Beautiful French Scientist,beautiful french scientist,f,FALSE
138,English Scientist,english scientist,u,FALSE
141,Announcer #1,announcer 1,u,FALSE
142,Radio Announcer #1,radio announcer 1,u,FALSE
143,Churchgoing Woman,churchgoing woman,f,FALSE
147,Girl On Screen,girl on screen,f,FALSE
148,Boy On Screen,boy on screen,m,FALSE
149,Usher,usher,u,FALSE
150,Mr. Dandy,mr dandy,m,FALSE
151,Radio Announcer #3,radio announcer 3,u,FALSE
152,Jebediah Springfield,jebediah springfield,m,FALSE
154,TV ANNOUNCER #3 CONT'D,tv announcer 3 contd,u,FALSE
155,Mob,mob,u,FALSE
157,Waiters,waiters,u,FALSE
158,1st Waiter Quartet,1st waiter quartet,u,FALSE
159,2nd Waiter Quartet,2nd waiter quartet,u,FALSE
160,3rd Waiter Quartet,3rd waiter quartet,u,FALSE
161,4TH QUARTET OF WAITERS,4th quartet of waiters,u,FALSE
162,Counter Guy,counter guy,m,FALSE
164,HELEN,helen,f,FALSE
166,Another Worker,another worker,u,FALSE
167,Female Mail Carrier,female mail carrier,f,FALSE
168,Mr. Fisk,mr fisk,m,FALSE
169,Eugene Fisk,eugene fisk,m,FALSE
172,Workers,workers,u,FALSE
173,Princess Kashmir,princess kashmir,f,FALSE
174,Hoyt,hoyt,m,FALSE
175,Girl #1,girl 1,f,FALSE
176,Boy #1,boy 1,m,FALSE
177,All Kids,all kids,u,FALSE
178,Freddie,freddie,m,FALSE
179,Lewis's Dad,lewiss dad,m,FALSE
180,Al,al,m,FALSE
181,Happy Man,happy man,m,FALSE
182,Funky Guy,funky guy,m,FALSE
184,Man At Door,man at door,m,FALSE
185,Ticket-seller,ticket-seller,u,FALSE
186,Stage Manager,stage manager,u,FALSE
188,Theatre-goer #1,theatre-goer 1,u,FALSE
189,Theatre-goer #2,theatre-goer 2,u,FALSE
190,Theatre-goer #3,theatre-goer 3,u,FALSE
