id,city,state,country
1,Springfield,Alabama,USA
2,Springfield,Arkansas,USA
3,Springfield,California,USA
4,Springfield,Colorado,USA
5,Springfield,Florida,USA
6,Springfield,Georgia,USA
7,Springfield,Idaho,USA
8,Springfield,Illinois,USA
9,Springfield,Indiana,USA
10,Springfield,Kentucky,USA
11,Springfield,Louisiana,USA
12,Springfield,Maine,USA
13,Springfield,Maryland,USA
14,Springfield,Massachusetts,USA
15,Springfield,Michigan,USA
16,Springfield,Minnesota,USA
17,Springfield,Missouri,USA
18,Springfield,Nebraska,USA
19,Springfield,New Hampshire,USA
20,Springfield,New Jersey,USA
21,Springfield,New York,USA
22,Springfield,North Carolina,USA
23,Springfield,Ohio,USA
24,Springfield,Oregon,USA
25,Springfield,Pennsylvania,USA
26,Springfield,South Carolina,USA
27,Springfield,South Dakota,USA
28,Springfield,Tennessee,USA
29,Springfield,Texas,USA
30,Springfield,Vermont,USA
31,Springfield,Virgin Islands,USA
32,Springfield,Virginia,USA
33,Springfield,West Virginia,USA
34,Springfield,Wisconsin,USA
35,Springfield,Fife,Scotland
